year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1950,1950166N14262,UNNAMED,,EP,single,MEX,47.3,92,5363094,95322886672,555969,8373495136,0,0
1950,1950174N17126,ELSIE,,WP,multi,JPN,51.7,100.6,9849246,1.26E+12,732871,1.09E+11,13401,2525872354
1950,1950174N17126,ELSIE,,WP,multi,KOR,19.5,37.8,1103218,1.01E+11,0,0,0,0
1950,1950185N18254,UNNAMED,,EP,single,MEX,28.8,55.9,887162,13252730550,0,0,0,0
1950,1950191N12149,UNNAMED,,WP,single,JPN,26,50.5,144390,27069847182,0,0,0,0
1950,1950196N22144,GRACE,,WP,single,JPN,36.9,71.8,2188323,2.83E+11,29309,4527213772,0,0
1950,1950204N22123,UNNAMED,,WP,multi,CHN,19.5,37.9,339055,7442973004,0,0,0,0
1950,1950204N22123,UNNAMED,,WP,multi,JPN,19.4,37.6,67,39586027,0,0,0,0
1950,1950204N22123,UNNAMED,,WP,multi,TWN,20.8,40.3,332513,91636402010,0,0,0,0
1950,1950205N21131,UNNAMED,,WP,single,JPN,26,50.6,87488,10942259916,0,0,0,0
1950,1950207N21115,UNNAMED,,WP,single,CHN,24.3,47.3,15118814,3.45E+11,0,0,0,0
1950,1950213N24139,UNNAMED,,WP,single,JPN,25.1,48.8,4024548,5.41E+11,0,0,0,0
1950,1950213N25128,UNNAMED,,WP,multi,JPN,23.4,45.5,87488,10942259916,0,0,0,0
1950,1950213N25128,UNNAMED,,WP,multi,TWN,20,38.8,1073013,3.36E+11,0,0,0,0
1950,1950214N21139,UNNAMED,,WP,single,JPN,22.5,43.7,2334337,2.94E+11,0,0,0,0
1950,1950216N26142,UNNAMED,,WP,single,JPN,22.2,43.2,3328924,4.64E+11,0,0,0,0
1950,1950221N29145,UNNAMED,,WP,single,JPN,24.3,47.3,31598551,3.32E+12,0,0,0,0
1950,1950222N25140,UNNAMED,,WP,multi,JPN,32.1,62.4,9599842,1.22E+12,0,0,0,0
1950,1950222N25140,UNNAMED,,WP,multi,KOR,31.7,61.7,19417142,2.92E+12,0,0,0,0
1950,1950224N17305,ABLE,,NA,multi,CAN,41.4,80.5,1067596,1.39E+11,65920,12646498082,0,0
1950,1950226N26124,UNNAMED,,WP,single,JPN,29.3,57,17260180,2.16E+12,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,AIA,22.8,44.3,17965,0,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,ANT,25.1,48.7,29079,0,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,ATG,49,95.2,93005,0,93005,0,0,0
1950,1950231N12306,BAKER,,NA,multi,BHS,34.9,67.8,4049,686952240,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,CUB,32.2,62.5,8894477,80683369962,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,DMA,23.8,46.3,66839,0,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,DOM,20.7,40.2,37377,1173602365,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,GLP,41.5,80.6,453978,0,319510,0,0,0
1950,1950231N12306,BAKER,,NA,multi,KNA,38.6,75.1,43069,0,27369,0,0,0
1950,1950231N12306,BAKER,,NA,multi,MEX,21.8,42.5,5556,201209659,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,MSR,44.5,86.5,6201,0,6201,0,0,0
1950,1950231N12306,BAKER,,NA,multi,PRI,29.4,57.2,3695921,2.29E+11,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,TCA,25.5,49.5,4655,0,0,0,0,0
1950,1950231N12306,BAKER,,NA,multi,USA,46.8,90.9,5174476,1.18E+12,1263676,2.71E+11,0,0
1950,1950231N12306,BAKER,,NA,multi,VIR,31.8,61.9,54680,0,0,0,0,0
1950,1950243N15304,DOG,,NA,multi,AIA,61.2,119,17965,0,17965,0,17965,0
1950,1950243N15304,DOG,,NA,multi,ANT,55.8,108.5,29079,0,29079,0,29079,0
1950,1950243N15304,DOG,,NA,multi,ATG,65.2,126.8,93005,0,93005,0,93005,0
1950,1950243N15304,DOG,,NA,multi,DMA,26.2,50.9,66839,0,0,0,0,0
1950,1950243N15304,DOG,,NA,multi,GBR,39.8,77.3,3075305,5.21E+11,108407,21334797043,0,0
1950,1950243N15304,DOG,,NA,multi,GLP,59.8,116.3,453978,0,360427,0,23239,0
1950,1950243N15304,DOG,,NA,multi,IRL,36.8,71.6,421996,56019288638,1204,180952957,0,0
1950,1950243N15304,DOG,,NA,multi,KNA,52.9,102.9,43069,0,43069,0,2873,0
1950,1950243N15304,DOG,,NA,multi,MSR,48.5,94.3,6201,0,6201,0,0,0
1950,1950243N15304,DOG,,NA,multi,PRI,21.6,42,14429,232644031,0,0,0,0
1950,1950243N15304,DOG,,NA,multi,VIR,28.1,54.6,54680,0,0,0,0,0
1950,1950247N15145,KEZIA,,WP,multi,JPN,46.4,90.1,20049254,2.70E+12,3793909,5.74E+11,0,0
1950,1950247N15145,KEZIA,,WP,multi,RUS,35.1,68.2,1963,16638560,0,0,0,0
1950,1950249N15115,UNNAMED,,WP,single,VNM,21.6,41.9,534083,2775426531,0,0,0,0
1950,1950261N27138,MISSATHA,,WP,single,JPN,31,60.3,8194,1220940667,0,0,0,0
1950,1950269N05153,OSSIA,,WP,multi,CHN,36.4,70.8,22746016,6.31E+11,0,0,0,0
1950,1950269N05153,OSSIA,,WP,multi,HKG,32.7,63.6,8148473,1.23E+12,0,0,0,0
1950,1950269N05153,OSSIA,,WP,multi,PHL,46.9,91.2,14186479,1.16E+11,9588299,62210968597,0,0
1950,1950270N19114,UNNAMED,,WP,single,CHN,20.4,39.7,2611138,57823732612,0,0,0,0
1950,1950270N25309,GEORGE,,NA,multi,CAN,28.7,55.7,271340,25592486015,0,0,0,0
1950,1950270N25309,GEORGE,,NA,multi,FRO,22.9,44.5,36914,0,0,0,0,0
1950,1950274N26272,HOW,,NA,single,MEX,21.3,41.4,33449,1211877984,0,0,0,0
1950,1950281N23270,ITEM,,NA,single,MEX,50.2,97.6,9383974,1.52E+11,2122813,32934644283,472,20253749
1950,1950286N16276,KING,,NA,multi,BHS,45,87.5,64536,3205497339,0,0,0,0
1950,1950286N16276,KING,,NA,multi,CUB,50.5,98.1,4568061,43158239895,1289009,12556408480,14215,188890554
1950,1950286N16276,KING,,NA,multi,HND,19,36.8,586,10129221,0,0,0,0
1950,1950286N16276,KING,,NA,multi,JAM,34.7,67.5,1273836,10892077094,36,0,0,0
1950,1950286N16276,KING,,NA,multi,USA,65.7,127.7,18781189,3.68E+12,11761823,2.21E+12,4725185,8.17E+11
1950,1950291N26271,LOVE,,NA,single,USA,39.9,77.5,6247354,1.31E+12,51706,14289888961,0,0
1950,1950301N09138,RUBY,,WP,single,JPN,19.8,38.6,6811,1012022675,0,0,0,0
1950,1950305N12145,CLARA,,WP,single,JPN,59,114.7,1305061,1.16E+11,1266266,1.11E+11,226669,22302191383
1950,1950322N07138,DELILAH,,WP,single,PHL,47.8,92.9,21323130,2.07E+11,10638719,93394264553,0,0
1950,1950360N10141,FRAN,,WP,single,PHL,54.8,106.4,49249997,4.44E+11,35696391,2.92E+11,555644,6236062686
1951,1951119N06145,IRIS,,WP,multi,JPN,39.8,77.3,644914,53026820068,2,97942,0,0
1951,1951119N06145,IRIS,,WP,multi,PHL,69.6,135.3,57147773,5.21E+11,28028984,2.37E+11,1319917,12830091874
1951,1951119N06145,IRIS,,WP,multi,TWN,49.5,96.3,4191922,8.96E+11,49390,16773399299,0,0
1951,1951132N18111,UNNAMED,,WP,multi,CHN,25.4,49.4,15578885,4.21E+11,0,0,0,0
1951,1951132N18111,UNNAMED,,WP,multi,HKG,24.7,47.9,8148473,1.23E+12,0,0,0,0
1951,1951136N32292,ABLE,,NA,multi,BHS,41.6,80.9,75662,3442048633,63157,2781756109,0,0
1951,1951136N32292,ABLE,,NA,multi,USA,28.2,54.8,3949616,6.59E+11,0,0,0,0
1951,1951138N11256,UNNAMED,,EP,single,MEX,28.7,55.8,2268531,42915116771,0,0,0,0
1951,1951152N14264,UNNAMED,,EP,single,MEX,52.9,102.8,9523771,1.65E+11,2129638,31482046056,114534,2376764726
1951,1951169N18117,UNNAMED,,WP,multi,CHN,23.7,46.1,5200623,1.18E+11,0,0,0,0
1951,1951169N18117,UNNAMED,,WP,multi,VNM,17.5,34.1,14,1372365,0,0,0,0
1951,1951177N12136,KATE,,WP,single,JPN,54.6,106.2,83530573,9.95E+12,24747658,2.94E+12,549663,90306429200
1951,1951178N17259,UNNAMED,,EP,single,MEX,30.1,58.4,2265273,33141675563,0,0,0,0
1951,1951181N21122,UNNAMED,,WP,single,JPN,24.8,48.2,618307,58722442093,0,0,0,0
1951,1951187N17256,UNNAMED,,EP,single,MEX,18.6,36.2,876,20680099,0,0,0,0
1951,1951206N11145,LOUISE,,WP,multi,CHN,31,60.3,22328680,5.83E+11,0,0,0,0
1951,1951206N11145,LOUISE,,WP,multi,HKG,23.4,45.4,8148473,1.23E+12,0,0,0,0
1951,1951206N11145,LOUISE,,WP,multi,PHL,62.9,122.3,11972716,92044736594,9009618,56108240924,2196001,17840557608
1951,1951217N14114,UNNAMED,,WP,single,CHN,25,48.6,1636152,36086928913,0,0,0,0
1951,1951221N10136,UNNAMED,,WP,multi,CHN,26.7,51.9,62450599,1.47E+12,0,0,0,0
1951,1951221N10136,UNNAMED,,WP,multi,HKG,24.4,47.4,8148473,1.23E+12,0,0,0,0
1951,1951221N10136,UNNAMED,,WP,multi,PHL,25,48.6,30677,287227079,0,0,0,0
1951,1951221N10136,UNNAMED,,WP,multi,TWN,26.8,52.1,8421258,1.75E+12,0,0,0,0
1951,1951223N11148,MARGE,,WP,multi,CHN,24.3,47.3,353649,9453474201,0,0,0,0
1951,1951223N11148,MARGE,,WP,multi,JPN,48.8,94.8,1217573,1.05E+11,40920,6049107014,0,0
1951,1951223N11148,MARGE,,WP,multi,KOR,39.2,76.3,37398900,5.46E+12,7247423,1.10E+12,0,0
1951,1951223N11148,MARGE,,WP,multi,PRK,31.7,61.6,2678924,835316169,0,0,0,0
