,MONTH,LAT_0hr,LONG_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_60hr,LONG_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,mag_0hr,ang_0hr,mag_60hr,ang_60hr,dist_0hr,dist_60hr,EP,NI,SA,SI,SP,WP,34kn_pop_qz,34kn_asset_qz
0,6,14.1435,-98.3448,3,289,16.2896,-101.343,5,293,5363094,95322886672.0,555969,8373495136.0,0,0.0,788.9055428510763,91.52524440791711,505.3030094996037,88.7583478369499,1.895538251520661,1.0138395620945186,1,0,0,0,0,0,1,1
1,7,18.7033,-106.098,7,327,22.5509,-112.401,9,304,887162,13252730550.0,0,0.0,0,0.0,1683.2554203515692,91.2566272630821,1687.8691095428605,91.27670715048176,1.2647948863432357,1.8825792632561333,1,0,0,0,0,0,0,0
2,7,11.8004,148.79,13,243,21.4776,147.879,19,14,144390,27069847182.0,0,0.0,0,0.0,1189.92286679456,91.48127354902992,1871.2266498098168,88.74863658886436,3.109913296265512,3.0155474365282227,0,0,0,0,0,1,0,0
3,7,21.0785,129.275,23,275,26.1946,130.148,16,53,87488,10942259916.0,0,0.0,0,0.0,1254.8365623782017,90.80348968066785,1031.5517449826489,90.0739597264213,3.8852267980482145,1.125940816606271,0,0,0,0,0,1,0,0
4,8,24.4325,139.04,7,353,35.5514,140.68,19,345,4024548,541000000000.0,0,0.0,0,0.0,1204.4552052331455,89.9007449965981,2118.1343027196936,89.53944511364104,2.2641924851048087,0.13109486556150793,0,0,0,0,0,1,1,1
5,8,24.9001,127.652,7,253,22.8774,121.452,8,208,87488,10942259916.0,0,0.0,0,0.0,1642.0078851672201,90.70090479809903,1215.7124433370739,90.93304194058118,1.17400276651463,0.17864544551988948,0,0,0,0,0,1,0,0
6,8,21.3537,139.394,18,60,34.0799,139.28,21,353,2334337,294000000000.0,0,0.0,0,0.0,903.169291856656,89.82517435270717,1944.4666716488266,89.56939063287828,3.4327006571877363,0.10634583741736782,0,0,0,0,0,1,0,0
7,8,26.1999,141.235,6,290,33.4673,134.021,15,333,3328924,464000000000.0,0,0.0,0,0.0,1417.1425900558995,89.75499545904877,1731.6171346180004,89.82523980747408,0.7603256594828294,0.0,0,0,0,0,0,1,1,1
8,8,25.1372,140.081,9,17,30.3149,138.902,14,287,9599842,1220000000000.0,0,0.0,0,0.0,1289.0672410197947,89.82370530905551,1631.6154363420078,89.49493728136726,1.224100129908503,1.408325721620558,0,0,0,0,0,1,1,1
10,8,25.8205,124.64,14,86,27.5954,131.195,8,277,17260180,2160000000000.0,0,0.0,0,0.0,1921.522428432589,90.79296414988495,1162.5012874462402,89.9759875582021,0.10377846335824922,1.388048848080265,0,0,0,0,0,1,1,1
13,9,15.1125,145.322,6,18,16.6725,143.95,8,338,20049254,2700000000000.0,3793909,574000000000.0,0,0.0,839.5295311030097,88.73294520890056,1393.5597813431195,88.49098715047512,0.27680103178529303,1.7100845097646498,0,0,0,0,0,1,1,1
14,9,15.52,114.58,7,286,17.2886,105.058,15,276,534083,2775426531.0,0,0.0,0,0.0,2526.5190361170735,91.4537246746721,2756.5127317225724,91.51583093206763,2.1646500825669315,0.0,0,0,0,0,0,1,0,0
15,9,5.95033,152.575,19,305,12.5575,140.0,12,284,22746016,631000000000.0,0,0.0,0,0.0,1770.4366460629826,91.13575949539117,1038.2262066163287,91.2216109163779,0.5333090650739141,2.4840934859833674,0,0,0,0,0,1,1,1
21,10,9.95777,137.47,17,325,22.7681,135.803,18,34,6811,1012022675.0,0,0.0,0,0.0,303.53995312915913,89.85586261820299,863.3408215431375,89.38363241802321,0.7544070611924485,2.358338420991567,0,0,0,0,0,1,0,0
22,11,12.0001,144.202,8,270,11.865,137.565,7,262,1305061,116000000000.0,1266266,111000000000.0,226669,22302191383.0,691.6232197426659,91.44810075352015,830.1810864913028,91.02927241533217,1.3108446687983293,2.3106783051028565,0,0,0,0,0,1,0,0
23,12,10.1153,140.473,12,289,12.385,127.759,14,295,49249997,444000000000.0,35696391,292000000000.0,555644,6236062686.0,400.25930684337214,90.77188767042246,496.5230908178127,89.26380252768286,0.3422063793034805,2.2092508877683015,0,0,0,0,0,1,1,1
24,4,6.28501,144.71,4,270,8.99349,137.281,10,273,644914,53026820068.0,2,97942.0,0,0.0,1022.5011634758349,90.81058351792117,998.5599719806194,90.74728849516192,0.9876241231612389,0.503959776348271,0,0,0,0,0,1,0,0
26,5,11.2437,-104.352,5,13,17.1532,-102.71,5,21,2268531,42915116771.0,0,0.0,0,0.0,1470.2213640596165,88.61968770954572,628.055889824983,88.54420901567839,4.941073282400994,0.8811945093360476,1,0,0,0,0,0,0,0
27,6,17.5525,116.405,2,298,19.3124,110.378,5,309,5200623,118000000000.0,0,0.0,0,0.0,2355.0273365618204,91.35209984077693,2201.6232890706324,91.40451877177705,3.1691824449856147,0.0,0,0,0,0,0,1,1,1
28,6,11.5513,135.898,8,278,16.049,127.646,8,338,83530573,9950000000000.0,24747658,2940000000000.0,549663,90306429200.0,251.73407858932907,88.98414837054874,349.7980711110999,91.5148514317176,2.9678747273887844,3.88275252464962,0,0,0,0,0,1,1,1
29,6,21.3451,121.655,8,22,26.6975,127.055,9,62,618307,58722442093.0,0,0.0,0,0.0,1935.3628741873424,91.08505985576961,1147.6964690623463,90.34219747472646,0.3658098829843205,0.1910938075501119,0,0,0,0,0,1,0,0
30,7,10.2702,144.0,11,248,13.7895,131.933,15,285,22328680,583000000000.0,0,0.0,0,0.0,718.2966678488956,91.18167381878877,241.24234904031877,90.4564735499326,1.7254256003389374,6.343884179591249,0,0,0,0,0,1,1,1
31,8,14.175,113.93,6,30,17.9991,110.575,10,270,1636152,36086928913.0,0,0.0,0,0.0,2592.4116640785214,91.51260422696792,2172.345833897608,91.46629840858493,2.722791684950583,0.6184728146814558,0,0,0,0,0,1,0,0
32,8,10.4306,135.197,18,304,18.3371,121.852,19,303,62450599,1470000000000.0,0,0.0,0,0.0,384.36633077582474,89.14843020757367,994.8831629876437,91.30456305670732,2.3858720764653327,0.04752017786615504,0,0,0,0,0,1,1,1
33,8,11.2552,147.051,13,303,13.5114,139.778,7,298,353649,9453474201.0,0,0.0,0,0.0,1010.5480914340582,91.40607417630166,984.3987023391659,91.3111737276871,2.6203635250516286,3.4216862005311066,0,0,0,0,0,1,0,0
35,8,16.1127,-102.231,25,294,23.2348,-115.272,11,329,1051497,18149881454.0,0,0.0,0,0.0,1225.3150354974273,91.3679085519359,1988.392092563257,91.28595032749432,1.5992507268733656,3.3515665376835413,1,0,0,0,0,0,0,0
36,8,11.5363,144.22,5,300,16.1426,133.472,9,300,10395631,241000000000.0,5881235,134000000000.0,1860218,47410738595.0,701.7520740733592,91.37713931948174,274.945726628703,88.53687910645229,1.7499988428901883,5.0155735794758245,0,0,0,0,0,1,1,1
39,9,14.0579,119.583,9,346,17.6049,114.124,7,262,1324085,26293549862.0,0,0.0,0,0.0,1982.7611878968864,91.50105223279058,1795.3982755035147,91.4675935690895,0.46326868249213743,1.6731997495137858,0,0,0,0,0,1,0,0
40,9,17.5044,-105.597,8,0,21.8637,-107.947,3,290,1214746,23119073524.0,0,0.0,0,0.0,1603.6726225374928,91.32228759885373,1228.397146372691,91.22314453422769,1.8875837464263632,1.24348478849763,1,0,0,0,0,0,0,0
41,9,8.03877,136.821,4,286,12.4231,131.7,7,301,151599,1344468774.0,0,0.0,0,0.0,519.4780695183176,89.78031776923916,367.5486455354458,90.22464268615587,0.6979682657112672,5.280973468752532,0,0,0,0,0,1,0,0
43,10,11.2908,146.021,19,301,16.3815,135.008,12,281,96950843,11500000000000.0,33303723,4030000000000.0,2310209,281000000000.0,899.4208739248644,91.38990958250541,440.5433653143268,88.5544341502733,2.152803459806998,4.1839451302731,0,0,0,0,0,1,1,1
45,11,8.93155,142.25,15,272,10.6867,130.469,9,274,1096326,8507280426.0,20341,443339696.0,0,0.0,629.411363904074,90.84885277751069,542.6131604111525,89.91442703879251,1.908753081588348,4.3888327185967,0,0,0,0,0,1,0,0
46,11,14.2439,-104.506,11,297,22.6919,-108.912,9,0,363801,4979625990.0,0,0.0,0,0.0,1453.1212326422562,91.53862439577433,1346.9924646569077,91.18860497521509,4.16922078178369,0.7426446533551548,1,0,0,0,0,0,0,0
47,12,9.03116,149.725,9,273,11.6678,137.069,16,282,20464826,188000000000.0,12675908,113000000000.0,5618193,48973327246.0,1353.7033518842911,91.2643086102206,795.7361338856273,90.97225003673087,0.345830735570181,2.3100979006252182,0,0,0,0,0,1,1,1
48,1,-11.4244,139.439,8,122,-16.3293,141.858,10,213,12818,1596848852.0,0,0.0,0,0.0,113.6490279831946,90.1570893792043,297.5851849965823,91.03737722494398,2.4107511670890043,0.0,0,0,0,0,1,0,0,0
