,SID,BASIN,MONTH,DAY,LAT_0hr,LONG_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_12hr,LONG_12hr,STORM_SPEED_12hr,STORM_DIR_12hr,LAT_24hr,LONG_24hr,STORM_SPEED_24hr,STORM_DIR_24hr,LAT_36hr,LONG_36hr,STORM_SPEED_36hr,STORM_DIR_36hr,LAT_48hr,LONG_48hr,STORM_SPEED_48hr,STORM_DIR_48hr,LAT_60hr,LONG_60hr,STORM_SPEED_60hr,STORM_DIR_60hr
0,1842298N11080,NI,10,25,10.9,80.3,9,266,10.8,78.4,9,268,10.8,76.4,11,271,10.9,74.1,11,275,11.2,71.9,10,277,11.4,70,10,277
0,1845336N10074,NI,12,2,10.0329,74.1547,3,284,10.2993,73.5362,4,304,10.8429,72.791,5,305,11.4459,72.063,4,320,12.0678,71.7315,4,341,12.7772,71.5706,4,352
0,1848011S09079,SI,1,11,-9.40782,77.7341,26,252,-11.3723,72.8105,25,243,-13.1117,69.7326,6,237,-13.4356,69.4531,4,226,-14.0459,68.8677,4,221,-14.6678,68.3669,4,217
0,1848011S09080,SI,1,11,-8.62384,79.864,1,114,-8.76923,79.784,3,249,-9.11204,78.3653,12,258,-9.7418,75.4359,16,256,-10.6769,72.6331,12,242,-11.9413,70.8109,10,229
0,1848011S15057,SI,1,11,-15.1537,57.5179,2,69,-15.2,57.5751,3,234,-16.1637,55.9762,16,239,-18.2947,52.504,22,235,-20.936,49.2123,18,223,-23.7345,47.1652,16,202
0,1848061S12075,SI,2,29,-11.4804,75.0488,0,0,-11.3581,75.5885,9,75,-11.3428,75.4175,5,257,-11.9242,73.1492,19,255,-13.2245,68.4121,27,254,-14.7047,63.5016,22,254
0,1848112S07084,SI,4,21,-6.8089,83.6491,4,234,-7.29881,83.0469,4,226,-8.00618,82.4535,5,213,-8.98721,82.006,5,192,-10.0615,82.0768,6,160,-11.1217,82.8036,7,137
0,1848112S07444,SI,4,20,-7.31882,83.4735,6,226,-8.24281,82.5822,6,220,-9.24178,82.0172,5,193,-10.3019,82.2342,7,153,-11.4205,83.1197,6,133,-12.2396,84.2091,8,128
0,1851080S15062,SI,3,20,-15.2178,62.0273,8,239,-15.9504,60.7169,6,242,-16.4111,59.7718,5,243,-16.7902,58.8612,5,250,-17.0394,57.824,5,263,-17.1206,56.7808,4,264
0,1851080S15063,SI,3,21,-15.1919,62.329,4,241,-15.5747,61.6131,4,241,-16.0193,60.7734,5,241,-16.5045,59.7808,5,245,-16.865,58.7572,5,256,-17.0229,57.7812,5,264
0,1851175N26270,,6,23,26.2001,-90.6999,6,290,26.5999,-91.9001,6,290,26.9999,-93.1001,6,290,27.7013,-94.6988,8,290,27.9552,-95.9978,5,286,28.2265,-97.0793,5,284
0,1851181N19275,,6,29,19.1002,-84.9999,8,285,19.5,-86.6075,8,285,19.9075,-88.0925,8,285,20.1924,-89.7,8,285,20.6074,-91.265,7,287,20.8925,-92.5425,7,287
0,1851214N14321,,8,1,13.5527,-39.4999,10,276,13.7999,-41.4999,10,282,14.0999,-43.4999,10,282,14.3999,-45.4999,10,282,14.6499,-47.5,10,276,14.8999,-49.4999,10,282
0,1851228N13313,,8,16,13.5356,-48.0047,16,282,14.2232,-51.2851,18,283,15.1329,-54.9235,19,285,15.9661,-58.7289,18,278,16.7425,-62.5104,16,282,17.3921,-66.0561,16,282
0,1851241N27280,,8,28,27.0525,-80,1,0,27.3,-80,2,8,27.5624,-79.9373,3,42,28.465,-79.0423,5,56,29.1499,-78.2849,3,30,29.9,-77.9074,4,23
0,1851256N26265,,9,12,25.5875,-95.5375,2,335,26.1,-95.8576,2,335,26.6,-96.0426,2,335,27.1,-96.3576,2,335,27.53,-96.5425,1,270,27.4,-96.8575,1,270
0,1851256N33287,,9,13,32.5,-73.5,0,0,32.5,-73.5,0,0,32.5,-73.5,0,0,32.5,-73.5,0,0,32.5,-73.5,0,0,32.5,-73.5,0,0
0,1851260N32298,,9,16,31.5375,-62.4625,1,40,31.8575,-62.1425,1,40,32.015,-61.9575,1,90,31.9,-61.6425,1,90,31.7075,-61.45,2,155,31.3,-61.2425,2,155
0,1851283N24298,,10,9,23.9501,-61.8622,7,318,24.95,-62.7426,7,318,25.9424,-63.7427,7,318,27.0999,-64.8577,7,323,28.5129,-66.1544,15,316,30.6999,-68.5006,14,314
0,1851289N29282,,10,16,28.905,-77.9076,4,24,29.785,-77.3149,7,30,30.9649,-76.4422,6,27,31.7774,-75.7146,5,40,33,-74.5922,8,40,34.5753,-73.3933,15,27
0,1851305S08089,SI,11,1,-8.38408,88.2705,7,248,-8.86491,87.1216,5,246,-9.24012,86.298,4,245,-9.63964,85.506,5,240,-10.2076,84.6997,5,230,-10.9421,83.9734,5,219
0,1851309N19282,,11,4,19.0375,-77.7025,2,242,18.9575,-78.1425,3,250,18.7075,-78.7075,3,224,18.2575,-79.1075,4,212,17.685,-79.1724,3,125,17.535,-78.6575,3,71
0,1852001S12077,SI,1,1,-12.2062,77.3187,0,0,-12.3148,77.1202,3,249,-12.7536,75.8297,11,252,-13.5872,73.1666,16,253,-14.5102,70.0655,15,254,-15.3541,67.0713,15,253
0,1852001S13076,SI,1,1,-12.9128,75.5747,15,253,-13.6689,72.8729,12,254,-14.4366,70.2781,15,251,-15.3924,67.3165,14,254,-16.2853,64.3455,18,250,-17.6753,60.6936,19,246
0,1852021S14075,SI,1,21,-13.9142,75.0412,5,241,-14.2903,74.2966,3,246,-14.5923,73.4959,6,250,-15.0476,72.1909,8,250,-15.5774,70.592,8,252,-16.1471,68.7509,11,252
0,1852232N21293,,8,19,20.7336,-67.7632,8,284,21.1382,-69.3158,8,284,21.4784,-71.3257,11,282,21.8998,-73.4651,9,283,22.2593,-75.3519,11,277,22.7689,-77.531,10,286
0,1852241N34278,,8,28,33.7771,-81.7491,13,72,35.0417,-78.8839,12,55,36.6002,-76.2423,14,56,38.1906,-73.7801,12,50,39.991,-70.0362,14,45,42.0423,-68.3067,13,28
