,SID,BASIN,MONTH,DAY,LAT_0hr,LONG_0hr,WMO_WIND_0hr,WMO_PRES_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_12hr,LONG_12hr,WMO_WIND_12hr,WMO_PRES_12hr,STORM_SPEED_12hr,STORM_DIR_12hr,LAT_24hr,LONG_24hr,WMO_WIND_24hr,WMO_PRES_24hr,STORM_SPEED_24hr,STORM_DIR_24hr,LAT_36hr,LONG_36hr,WMO_WIND_36hr,WMO_PRES_36hr,STORM_SPEED_36hr,STORM_DIR_36hr,LAT_48hr,LONG_48hr,WMO_WIND_48hr,WMO_PRES_48hr,STORM_SPEED_48hr,STORM_DIR_48hr,LAT_60hr,LONG_60hr,WMO_WIND_60hr,WMO_PRES_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
0,1950166N14262,EP,6,14,14.1435,-98.3448, , ,3,289,14.5842,-99.1921, , ,7,305,15.3169,-99.9796, , ,2,332,15.7468,-100.145, , ,3,344,16.1143,-100.426, , ,3,272,16.2896,-101.343, , ,5,293,5363094,95322886672.0,555969,8373495136.0,0,0.0
0,1950185N18254,EP,7,3,18.7033,-106.098, , ,7,327,19.845,-106.938, , ,8,325,20.8762,-108.097, , ,6,298,21.1455,-109.34, , ,7,279,21.5775,-110.791, , ,8,298,22.5509,-112.401, , ,9,304,887162,13252730550.0,0,0.0,0,0.0
0,1950191N12149,WP,7,9,11.8004,148.79, , ,13,243,10.5027,146.207, , ,17,249,11.5673,144.1, , ,13,13,14.965,145.5, , ,19,24,18.3725,146.922, , ,20,17,21.4776,147.879, , ,19,14,144390,27069847182.0,0,0.0,0,0.0
0,1950205N21131,WP,7,24,21.0785,129.275, , ,23,275,22.4084,123.89, , ,15,304,23.7026,123.505, , ,6,41,24.1295,124.826, , ,6,83,24.7202,126.825, , ,14,69,26.1946,130.148, , ,16,53,87488,10942259916.0,0,0.0,0,0.0
0,1950213N24139,WP,8,1,24.4325,139.04, , ,7,353,26.1925,139.0, , ,10,1,28.1799,139.19, , ,10,26,29.3776,140.725, , ,7,57,31.0655,140.386, , ,15,337,35.5514,140.68, , ,19,345,4024548,541000000000.0,0,0.0,0,0.0
0,1950213N25128,WP,8,1,24.9001,127.652, , ,7,253,24.5075,126.278, , ,6,250,23.755,125.563, , ,6,179,23.93,125.348, , ,8,284,23.7723,123.078, , ,10,252,22.8774,121.452, , ,8,208,87488,10942259916.0,0,0.0,0,0.0
0,1950214N21139,WP,8,2,21.3537,139.394, , ,18,60,23.2073,141.633, , ,11,25,25.1476,141.51, , ,15,336,27.9798,140.062, , ,12,342,30.2325,139.535, , ,14,356,34.0799,139.28, , ,21,353,2334337,294000000000.0,0,0.0,0,0.0
0,1950216N26142,WP,8,3,26.1999,141.235, , ,6,290,26.5847,139.65, , ,7,288,27.3046,138.142, , ,7,318,29.0423,136.834, , ,10,334,31.2577,135.558, , ,15,329,33.4673,134.021, , ,15,333,3328924,464000000000.0,0,0.0,0,0.0
0,1950222N25140,WP,8,9,25.1372,140.081, , ,9,17,27.162,141.236, , ,9,0,26.6674,140.196, , ,6,144,27.5275,140.98, , ,9,5,29.2797,140.875, , ,8,333,30.3149,138.902, , ,14,287,9599842,1220000000000.0,0,0.0,0,0.0
0,1950224N17305,,8,12,17.4176,-55.8722, , ,10,308,18.5622,-57.9778, , ,14,305,20.3796,-60.5731, , ,12,304,21.6425,-62.7375, , ,12,307,22.93,-64.1851, , ,8,298,23.635,-65.7449, , ,7,312,1067596,139000000000.0,65920,12646498082.0,0,0.0
