,BASIN,MONTH,DAY,LAT_0hr,LONG_0hr,STORM_SPEED_0hr,STORM_DIR_0hr,LAT_12hr,LONG_12hr,STORM_SPEED_12hr,STORM_DIR_12hr,LAT_24hr,LONG_24hr,STORM_SPEED_24hr,STORM_DIR_24hr,LAT_36hr,LONG_36hr,STORM_SPEED_36hr,STORM_DIR_36hr,LAT_48hr,LONG_48hr,STORM_SPEED_48hr,STORM_DIR_48hr,LAT_60hr,LONG_60hr,STORM_SPEED_60hr,STORM_DIR_60hr,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets,EP,NI,SA,SI,SP,WP
0,EP,6,14,14.1435,-98.3448,3,289,14.5842,-99.1921,7,305,15.3169,-99.9796,2,332,15.7468,-100.145,3,344,16.1143,-100.426,3,272,16.2896,-101.343,5,293,5363094,95322886672.0,555969,8373495136.0,0,0.0,1,0,0,0,0,0
1,EP,7,3,18.7033,-106.098,7,327,19.845,-106.938,8,325,20.8762,-108.097,6,298,21.1455,-109.34,7,279,21.5775,-110.791,8,298,22.5509,-112.401,9,304,887162,13252730550.0,0,0.0,0,0.0,1,0,0,0,0,0
2,WP,7,9,11.8004,148.79,13,243,10.5027,146.207,17,249,11.5673,144.1,13,13,14.965,145.5,19,24,18.3725,146.922,20,17,21.4776,147.879,19,14,144390,27069847182.0,0,0.0,0,0.0,0,0,0,0,0,1
3,WP,7,24,21.0785,129.275,23,275,22.4084,123.89,15,304,23.7026,123.505,6,41,24.1295,124.826,6,83,24.7202,126.825,14,69,26.1946,130.148,16,53,87488,10942259916.0,0,0.0,0,0.0,0,0,0,0,0,1
4,WP,8,1,24.4325,139.04,7,353,26.1925,139.0,10,1,28.1799,139.19,10,26,29.3776,140.725,7,57,31.0655,140.386,15,337,35.5514,140.68,19,345,4024548,541000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
5,WP,8,1,24.9001,127.652,7,253,24.5075,126.278,6,250,23.755,125.563,6,179,23.93,125.348,8,284,23.7723,123.078,10,252,22.8774,121.452,8,208,87488,10942259916.0,0,0.0,0,0.0,0,0,0,0,0,1
6,WP,8,2,21.3537,139.394,18,60,23.2073,141.633,11,25,25.1476,141.51,15,336,27.9798,140.062,12,342,30.2325,139.535,14,356,34.0799,139.28,21,353,2334337,294000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
7,WP,8,3,26.1999,141.235,6,290,26.5847,139.65,7,288,27.3046,138.142,7,318,29.0423,136.834,10,334,31.2577,135.558,15,329,33.4673,134.021,15,333,3328924,464000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
8,WP,8,9,25.1372,140.081,9,17,27.162,141.236,9,0,26.6674,140.196,6,144,27.5275,140.98,9,5,29.2797,140.875,8,333,30.3149,138.902,14,287,9599842,1220000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
10,WP,8,13,25.8205,124.64,14,86,26.5296,127.495,11,68,26.5499,129.323,8,113,26.4349,130.55,5,77,26.8274,131.602,4,42,27.5954,131.195,8,277,17260180,2160000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
13,WP,9,4,15.1125,145.322,6,18,15.8874,145.16,4,285,15.7299,143.698,5,247,14.8975,143.448,5,128,15.2049,144.302,5,11,16.6725,143.95,8,338,20049254,2700000000000.0,3793909,574000000000.0,0,0.0,0,0,0,0,0,1
14,WP,9,6,15.52,114.58,7,286,15.3722,112.368,10,265,15.4702,110.844,7,282,15.8913,109.229,11,296,16.7588,107.764,10,289,17.2886,105.058,15,276,534083,2775426531.0,0,0.0,0,0.0,0,0,0,0,0,1
15,WP,9,25,5.95033,152.575,19,305,8.15747,149.607,19,305,10.1222,146.642,15,302,11.4298,144.062,11,292,11.9999,142.215,10,282,12.5575,140.0,12,284,22746016,631000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
21,WP,10,27,9.95777,137.47,17,325,13.0374,135.95,22,35,15.5444,136.065,20,295,17.5783,133.705,11,352,20.1149,134.277,15,23,22.7681,135.803,18,34,6811,1012022675.0,0,0.0,0,0.0,0,0,0,0,0,1
22,WP,11,1,12.0001,144.202,8,270,11.9999,142.643,7,270,11.9999,141.335,5,270,11.9999,140.323,6,270,12.0075,138.835,7,270,11.865,137.565,7,262,1305061,116000000000.0,1266266,111000000000.0,226669,22302191383.0,0,0,0,0,0,1
23,WP,12,26,10.1153,140.473,12,289,10.515,138.265,13,270,10.5275,135.7,17,273,10.8061,133.18,9,284,11.5038,130.804,14,286,12.385,127.759,14,295,49249997,444000000000.0,35696391,292000000000.0,555644,6236062686.0,0,0,0,0,0,1
24,WP,4,28,6.28501,144.71,4,270,6.50623,143.757,5,287,7.31929,142.632,6,310,8.03807,141.388,8,290,8.60261,139.636,9,289,8.99349,137.281,10,273,644914,53026820068.0,2,97942.0,0,0.0,0,0,0,0,0,1
26,EP,5,17,11.2437,-104.352,5,13,12.4381,-104.001,7,14,13.9615,-103.708,7,16,15.2694,-103.189,5,21,16.1434,-102.95,5,11,17.1532,-102.71,5,21,2268531,42915116771.0,0,0.0,0,0.0,1,0,0,0,0,0
27,WP,6,17,17.5525,116.405,2,298,17.7775,115.78,5,293,18.4008,114.69,7,284,19.1297,112.72,7,301,19.2,111.55,7,270,19.3124,110.378,5,309,5200623,118000000000.0,0,0.0,0,0.0,0,0,0,0,0,1
